Action Rotate,Action Translate,Action Scale,World Coordinates,Local Coordinates,Camera Projection Coordinates,Action Select,Lightning,Save Project,Open Project,Create Project,Reload Project,Undo Last Action,Redo Last Action,Open IDE,Reload Game,Build Project,Build N Run Project,Cancel Build,Create Package,Create Folder,Display Properties,Rename Package,Rename Folder,Delete Selected Item,Expand Asset Folders,Expand All,Collapse All,Show in Explorer
Girar,Move,Redimensionar,Coordenadas Mundo,Coordenada Local,Camara Coordenada,Escoger,Alumbrado,Registrar,Open,Create Project,Reload Project,Deshacer accion,Rehacer accion,IDE,Reload Game,Contruir Proyecto,Build and Run,Cancel Build,Paquete Crear,Crear Folder,Display Property,Rename Package,Renombrar Folder,Borrar Item,Folder Expand,Expand All,Todos Collapsar,Explorer Show
Rotar,Mover,Escalar,World Coordinate,Coordenadas Local,Camara Coordenadas,Destacar,Luz,Registrar,Iniciar,Create Project,Reload Project,Deshacer,Rehacer,IDE,Reload Game,Proyecto Construir,Build and Run,Build Cancel,Paquete Crear,Crear Folder,Display Property,Package Rename,Folder Renombrar,Item Borrar,Folder Expand,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Rotate,Translate,Scale,World Coordinate,Local,Camara Coordenada,Elegir,Light,Grabar,Open,Create Project,Reload Project,Undo Last Action,Rehacer accion,Abrir IDE,Reload Game,Build,Build and Start,Build Cancel,Package Create,Folder Crear,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Borrar Item,Folder Expand,All Expand,Collapse All,Mostrar en Explorador
Rotate,Translate,Redimensionar,World Coordinate,Local Coordinates,Camara Coordenadas,Destacar,Iluminacion,Guardar,Abrir,Create Project,Reload P,Undo Last Action,Redo,IDE,Game Reload,Build,Construir y Correr,Build Cancelar,Create Package,Crear Folder,Property Display,Rename Package,Folder Renombrar,Item Borrar,Folder Expand,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Girar,Transladar,Redimensionar,World Coordinates,Local Coordinate,Coordenada Camara,Elegir,Light,Grabar,Iniciar,Create P,Recargar Proyecto,Undo,Redo,IDE,Game Reload,Build Project,Build and Start,Build Cancel,Paquete Crear,Folder Create,Mostrar Propiedades,Rename Package,Folder Renombrar,Delete Item,Folder Expandir,Expandir Todos,Todos Collapsar,Explorer Show
Voltear,Move,Scale,Mundo,Local,Camara Coordenadas,Seleccionar,Light,Guardar,Iniciar,Create P,Reload P,Deshacer accion,Rehacer,Abrir IDE,Reload Game,Proyecto Construir,Contruir y Comenzar,Cancel Build,Create Package,Folder Create,Mostrar Propiedades,Package Rename,Rename Folder,Borrar Item,Folder Expand,Expandir Todos,All Collapse,Mostrar en Explorador
Rotar,Transladar,Redimensionar,Coordenada Mundo,Local Coordinate,Camara Coordenadas,Escoger,Iluminacion,Guardar,Iniciar,Create Project,Reload P,Undo Last Action,Redo,Abrir IDE,Juego Recargar,Build,Build and Start,Build Cancelar,Create Package,Create Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Delete Item,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Move,Calibrar,Mundo,Coordenadas Local,Camara,Escoger,Luz,Save,Abrir,Crear Proyecto,Proyecto Recargar,Undo,Rehacer accion,Abrir IDE,Recargar Juego,Build Project,Construir y Correr,Cancel Build,Paquete Crear,Folder Create,Mostrar Propiedades,Rename Package,Package Folder,Delete Item,Folder Expandir,Expand All,All Collapse,Explorer Show
Girar,Mover,Escalar,World Coordinate,Local Coordinate,Camara Coordenada,Destacar,Iluminacion,Grabar,Open,Create P,Reload P,Undo Last Action,Rehacer,Open IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancel,Crear Paquete,Folder Crear,Display Property,Rename Package,Folder Renombrar,Item Borrar,Folder Expandir,Expand All,Collapse All,Mostrar en Explorador
Rotate,Translate,Calibrar,Coordenadas Mundo,Local Coordinate,Camara,Destacar,Light,Save,Empezar,Create P,Reload P,Undo Last Action,Rehacer accion,Open IDE,Reload Game,Build Project,Build and Run,Build Cancelar,Paquete Crear,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Package Folder,Item Delete,Expandir Folder,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Translate,Redimensionar,Coordenadas Mundo,Local Coordinate,Coordenadas Camara,Destacar,Luz,Registrar,Abrir,Proyecto Crear,Reload Project,Deshacer accion,Redo Last Action,Open IDE,Game Reload,Proyecto Construir,Construir y Correr,Cancel Build,Crear Paquete,Create Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Delete Item,Folder Expand,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Transladar,Calibrar,World Coordinate,Local,Coordenada Camara,Destacar,Light,Grabar,Abrir,Create P,Reload P,Deshacer accion,Rehacer accion,Open IDE,Game Reload,Build Project,Construir y Correr,Build Cancelar,Package Create,Folder Create,Mostrar Propiedades,Paquete Renombrar,Package Folder,Borrar Item,Folder Expand,Todos Expandir,All Collapse,Mostrar en Explorador
Girar,Mover,Scale,World View,Local Coordinate,Coordenadas Camara,Elegir,Luz,Grabar,Empezar,Crear Proyecto,Reload Project,Deshacer,Redo Last Action,IDE,Game Reload,Proyecto Construir,Build and Start,Build Cancelar,Package Create,Create Folder,Display Property,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expandir,All Expand,Todos Collapsar,Mostrar en Explorador
Rotate,Mover,Calibrar,World View,Local,Camara Coordenada,Escoger,Luz,Guardar,Abrir,Create Project,Reload P,Deshacer accion,Redo Last Action,IDE,Game Reload,Build,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Crear,Display Property,Package Rename,Folder Renombrar,Item Delete,Expandir Folder,Todos Expandir,Todos Collapsar,Explorador Mostrar
Girar,Move,Calibrar,Coordenada Mundo,Local,Camara Coordenada,Elegir,Light,Grabar,Abrir,Crear Proyecto,Recargar Proyecto,Undo,Rehacer,Abrir IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Paquete Crear,Create Folder,Property Display,Package Rename,Rename Folder,Item Borrar,Expandir Folder,Todos Expandir,Collapse All,Mostrar en Explorador
Rotar,Mover,Redimensionar,Coordenadas Mundo,Coordenadas Local,Coordenadas Camara,Destacar,Light,Grabar,Empezar,Create P,Reload P,Deshacer,Redo Last Action,Open IDE,Recargar Juego,Build,Contruir y Comenzar,Build Cancel,Crear Paquete,Folder Crear,Property Display,Paquete Renombrar,Renombrar Folder,Item Borrar,Folder Expand,All Expand,All Collapse,Mostrar en Explorador
Rotar,Move,Escalar,World Coordinate,Locales,Camera Coordinates,Escoger,Light,Guardar,Iniciar,Create Project,Reload Project,Undo Last Action,Rehacer accion,Open IDE,Game Reload,Build Project,Construir y Correr,Cancelar Build,Package Create,Folder Crear,Property Display,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expand,All Expand,All Collapse,Mostrar en Explorador
Rotate,Mover,Scale,World View,Local,Coordenadas Camara,Elegir,Luz,Guardar,Open,Create Project,Proyecto Recargar,Deshacer,Rehacer accion,Abrir IDE,Juego Recargar,Build Project,Contruir y Comenzar,Cancel Build,Crear Paquete,Folder Crear,Display Property,Renombrar Paquete,Package Folder,Borrar Item,Expandir Folder,Expandir Todos,All Collapse,Explorador Mostrar
Rotar,Mover,Redimensionar,World Coordinate,Locales,Coordenadas Camara,Seleccionar,Luz,Grabar,Open,Create P,Proyecto Recargar,Deshacer accion,Redo Last Action,Open IDE,Juego Recargar,Build,Contruir y Comenzar,Build Cancelar,Paquete Crear,Create Folder,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Item Borrar,Folder Expand,Todos Expandir,All Collapse,Explorador Mostrar
Girar,Mover,Scale,Coordenada Mundo,Local Coordinate,Camera Coordinates,Destacar,Iluminacion,Grabar,Abrir,Proyecto Crear,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Build Project,Contruir y Comenzar,Build Cancelar,Crear Paquete,Create Folder,Mostrar Propiedades,Paquete Renombrar,Rename Folder,Delete Item,Expand Folder,Todos Expandir,Collapsar Todos,Explorador Mostrar
Girar,Mover,Escalar,World Coordinate,Local Coordinates,Camara Coordenada,Destacar,Iluminacion,Registrar,Abrir,Create P,Reload P,Undo Last Action,Rehacer accion,Open IDE,Reload Game,Build,Contruir y Comenzar,Cancelar Build,Package Create,Create Folder,Propiedades Mostrar,Rename Package,Folder Renombrar,Borrar Item,Expandir Folder,Expand All,Collapsar Todos,Mostrar en Explorador
Voltear,Transladar,Calibrar,World Coordinate,Local Coordinate,Camera Coordinates,Elegir,Alumbrado,Grabar,Iniciar,Create Project,Reload Project,Undo Last Action,Redo Last Action,IDE,Reload Game,Build Project,Build and Run,Cancelar Build,Paquete Crear,Folder Create,Display Property,Package Rename,Rename Folder,Item Delete,Folder Expand,Expand All,Collapse All,Show in Explorer
Rotar,Move,Escalar,Coordenadas Mundo,Local,Coordenada Camara,Elegir,Light,Registrar,Open,Create P,Reload Project,Deshacer,Redo,Abrir IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Renombrar Folder,Item Borrar,Expand Folder,Expand All,All Collapse,Mostrar en Explorador
Girar,Mover,Escalar,Coordenada Mundo,Coordenada Local,Coordenadas Camara,Elegir,Light,Grabar,Iniciar,Crear Proyecto,Reload Project,Undo Last Action,Redo Last Action,Abrir IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Build Cancelar,Create Package,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Package Folder,Item Delete,Folder Expandir,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Rotate,Move,Redimensionar,World Coordinates,Locales,Camara,Escoger,Alumbrado,Registrar,Empezar,Proyecto Crear,Reload P,Deshacer,Redo Last Action,Open IDE,Juego Recargar,Build Project,Build and Start,Cancelar Build,Crear Paquete,Folder Crear,Propiedades Mostrar,Package Rename,Renombrar Folder,Delete Item,Folder Expand,All Expand,Todos Collapsar,Mostrar en Explorador
Rotar,Move,Redimensionar,World View,Coordenadas Local,Coordenada Camara,Seleccionar,Alumbrado,Registrar,Open,Proyecto Crear,Proyecto Recargar,Undo Last Action,Redo Last Action,Abrir IDE,Game Reload,Proyecto Construir,Construir y Correr,Cancel Build,Create Package,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Package Folder,Borrar Item,Folder Expandir,Expandir Todos,Todos Collapsar,Mostrar en Explorador
Rotar,Translate,Escalar,Coordenadas Mundo,Local Coordinate,Coordenada Camara,Escoger,Alumbrado,Save,Abrir,Create Project,Recargar Proyecto,Deshacer,Rehacer accion,Open IDE,Reload Game,Contruir Proyecto,Build and Start,Build Cancelar,Paquete Crear,Create Folder,Mostrar Propiedades,Rename Package,Folder Renombrar,Borrar Item,Folder Expandir,Todos Expandir,Todos Collapsar,Show in Explorer
Rotate,Transladar,Scale,Mundo,Local Coordinate,Coordenada Camara,Seleccionar,Luz,Registrar,Empezar,Create Project,Reload P,Undo,Redo Last Action,IDE,Juego Recargar,Contruir Proyecto,Build and Start,Cancelar Build,Crear Paquete,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Borrar Item,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Girar,Mover,Redimensionar,World Coordinate,Local,Coordenada Camara,Destacar,Luz,Grabar,Iniciar,Create Project,Reload P,Deshacer,Rehacer accion,Abrir IDE,Juego Recargar,Contruir Proyecto,Build and Start,Cancelar Build,Crear Paquete,Crear Folder,Property Display,Package Rename,Renombrar Folder,Item Delete,Folder Expand,Expand All,Todos Collapsar,Mostrar en Explorador
Rotate,Move,Redimensionar,Mundo,Local,Camara Coordenadas,Escoger,Luz,Registrar,Empezar,Create P,Reload P,Deshacer,Redo Last Action,Open IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Cancelar Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Borrar Item,Folder Expandir,Expandir Todos,All Collapse,Explorador Mostrar
Girar,Move,Calibrar,World View,Local Coordinates,Camara Coordenada,Destacar,Iluminacion,Grabar,Abrir,Proyecto Crear,Proyecto Recargar,Undo Last Action,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancelar,Package Create,Folder Crear,Propiedades Mostrar,Renombrar Paquete,Folder Renombrar,Borrar Item,Expand Folder,Expand All,Collapsar Todos,Mostrar en Explorador
Girar,Transladar,Calibrar,World Coordinate,Coordenada Local,Coordenada Camara,Destacar,Luz,Save,Empezar,Create P,Reload Project,Deshacer accion,Rehacer,Abrir IDE,Juego Recargar,Contruir Proyecto,Construir y Correr,Build Cancel,Crear Paquete,Crear Folder,Property Display,Renombrar Paquete,Rename Folder,Item Borrar,Folder Expandir,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Move,Redimensionar,World Coordinate,Local Coordinates,Camara Coordenada,Elegir,Light,Registrar,Abrir,Proyecto Crear,Reload P,Undo,Rehacer,Abrir IDE,Game Reload,Build,Construir y Correr,Build Cancelar,Create Package,Crear Folder,Mostrar Propiedades,Rename Package,Rename Folder,Delete Item,Expand Folder,Todos Expandir,Collapse All,Mostrar en Explorador
Girar,Mover,Redimensionar,Mundo,Local,Coordenadas Camara,Seleccionar,Light,Save,Iniciar,Proyecto Crear,Reload Project,Undo Last Action,Redo Last Action,IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancel Build,Package Create,Crear Folder,Propiedades Mostrar,Package Rename,Rename Folder,Item Delete,Folder Expand,Todos Expandir,Todos Collapsar,Show in Explorer
Rotate,Move,Scale,Coordenada Mundo,Local,Coordenadas Camara,Destacar,Light,Grabar,Open,Create Project,Proyecto Recargar,Undo Last Action,Redo Last Action,IDE,Recargar Juego,Proyecto Construir,Construir y Correr,Cancelar Build,Package Create,Folder Create,Mostrar Propiedades,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expandir,Expandir Todos,Collapsar Todos,Explorador Mostrar
Rotar,Translate,Scale,Coordenadas Mundo,Local Coordinate,Coordenadas Camara,Escoger,Luz,Guardar,Iniciar,Proyecto Crear,Reload Project,Undo Last Action,Rehacer,Abrir IDE,Game Reload,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Paquete Crear,Folder Crear,Display Property,Rename Package,Folder Renombrar,Item Borrar,Expand Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Rotate,Mover,Redimensionar,Coordenadas Mundo,Local,Camara,Elegir,Luz,Guardar,Empezar,Proyecto Crear,Reload P,Undo Last Action,Redo Last Action,IDE,Reload Game,Proyecto Construir,Build and Run,Cancel Build,Crear Paquete,Folder Create,Mostrar Propiedades,Rename Package,Rename Folder,Borrar Item,Expandir Folder,Expand All,Collapse All,Mostrar en Explorador
Rotate,Translate,Redimensionar,World Coordinate,Local,Camara Coordenadas,Elegir,Luz,Save,Abrir,Create Project,Reload P,Deshacer,Redo Last Action,Abrir IDE,Game Reload,Build,Construir y Correr,Cancelar Build,Create Package,Folder Create,Propiedades Mostrar,Renombrar Paquete,Package Folder,Borrar Item,Expand Folder,Todos Expandir,Collapse All,Explorador Mostrar
Girar,Move,Redimensionar,World Coordinate,Coordenadas Local,Camara,Escoger,Iluminacion,Registrar,Open,Create Project,Reload Project,Deshacer accion,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancel,Crear Paquete,Folder Crear,Display Property,Package Rename,Renombrar Folder,Borrar Item,Folder Expandir,Todos Expandir,Collapsar Todos,Explorer Show
Rotar,Move,Redimensionar,World Coordinate,Local Coordinate,Coordenadas Camara,Destacar,Luz,Grabar,Iniciar,Create Project,Proyecto Recargar,Deshacer accion,Rehacer accion,Abrir IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Cancel Build,Crear Paquete,Folder Crear,Property Display,Renombrar Paquete,Folder Renombrar,Delete Item,Folder Expand,Todos Expandir,Collapsar Todos,Mostrar en Explorador
Girar,Translate,Escalar,World View,Local Coordinate,Camara Coordenadas,Escoger,Light,Grabar,Iniciar,Create P,Reload P,Deshacer accion,Rehacer accion,IDE,Game Reload,Build,Contruir y Comenzar,Cancelar Build,Create Package,Folder Crear,Property Display,Paquete Renombrar,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Explorer Show
Girar,Mover,Calibrar,Mundo,Coordenadas Local,Camara Coordenada,Destacar,Luz,Save,Open,Crear Proyecto,Reload P,Undo,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Build and Start,Build Cancelar,Create Package,Folder Crear,Display Property,Paquete Renombrar,Rename Folder,Item Delete,Folder Expand,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Girar,Transladar,Escalar,Coordenadas Mundo,Local,Camera Coordinates,Escoger,Luz,Save,Empezar,Crear Proyecto,Reload Project,Undo Last Action,Rehacer accion,IDE,Reload Game,Contruir Proyecto,Build and Start,Cancelar Build,Paquete Crear,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Item Borrar,Expandir Folder,Expandir Todos,Collapse All,Mostrar en Explorador
Voltear,Move,Calibrar,Mundo,Local Coordinates,Coordenadas Camara,Seleccionar,Luz,Save,Empezar,Create Project,Reload Project,Deshacer accion,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Build and Start,Build Cancel,Create Package,Folder Crear,Display Property,Paquete Renombrar,Renombrar Folder,Item Delete,Folder Expand,Expandir Todos,Todos Collapsar,Explorador Mostrar
Rotate,Move,Escalar,World Coordinates,Locales,Camara Coordenada,Destacar,Alumbrado,Save,Iniciar,Create P,Reload P,Undo Last Action,Rehacer accion,IDE,Recargar Juego,Proyecto Construir,Construir y Correr,Build Cancel,Paquete Crear,Folder Create,Property Display,Paquete Renombrar,Renombrar Folder,Borrar Item,Folder Expandir,Expandir Todos,Collapsar Todos,Show in Explorer
Rotar,Translate,Calibrar,World View,Local Coordinates,Coordenadas Camara,Seleccionar,Luz,Grabar,Empezar,Create P,Reload Project,Deshacer,Redo Last Action,Abrir IDE,Game Reload,Build Project,Build and Run,Build Cancelar,Crear Paquete,Folder Create,Propiedades Mostrar,Renombrar Paquete,Rename Folder,Borrar Item,Folder Expand,Expand All,Todos Collapsar,Explorer Show
Rotate,Mover,Redimensionar,World Coordinate,Local,Camera Coordinates,Elegir,Light,Grabar,Open,Crear Proyecto,Reload Project,Deshacer,Redo Last Action,Open IDE,Game Reload,Build Project,Build and Run,Cancel Build,Package Create,Folder Create,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Borrar,Folder Expandir,Todos Expandir,Collapsar Todos,Explorador Mostrar
Girar,Mover,Scale,World Coordinates,Locales,Coordenadas Camara,Destacar,Light,Grabar,Abrir,Proyecto Crear,Reload P,Undo Last Action,Redo Last Action,Abrir IDE,Juego Recargar,Build,Build and Run,Cancel Build,Package Create,Folder Create,Property Display,Renombrar Paquete,Rename Folder,Item Borrar,Folder Expand,All Expand,Collapse All,Explorador Mostrar
Girar,Mover,Scale,World Coordinate,Locales,Camara Coordenada,Escoger,Iluminacion,Guardar,Empezar,Create Project,Reload Project,Undo,Redo,IDE,Juego Recargar,Contruir Proyecto,Contruir y Comenzar,Cancelar Build,Create Package,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Package Folder,Item Delete,Expand Folder,Todos Expandir,Collapsar Todos,Mostrar en Explorador
Girar,Move,Redimensionar,Coordenadas Mundo,Coordenada Local,Coordenadas Camara,Elegir,Luz,Guardar,Open,Proyecto Crear,Recargar Proyecto,Deshacer,Redo,Open IDE,Juego Recargar,Proyecto Construir,Build and Run,Build Cancel,Crear Paquete,Folder Crear,Mostrar Propiedades,Paquete Renombrar,Folder Renombrar,Item Delete,Folder Expand,Expand All,Collapsar Todos,Show in Explorer
Voltear,Move,Scale,World Coordinate,Coordenada Local,Coordenada Camara,Seleccionar,Luz,Grabar,Iniciar,Create P,Recargar Proyecto,Undo Last Action,Rehacer accion,IDE,Juego Recargar,Contruir Proyecto,Build and Run,Build Cancelar,Create Package,Crear Folder,Property Display,Renombrar Paquete,Package Folder,Item Borrar,Folder Expandir,Expandir Todos,Collapsar Todos,Show in Explorer
Rotar,Translate,Calibrar,World Coordinates,Coordenada Local,Coordenada Camara,Destacar,Light,Save,Open,Proyecto Crear,Reload P,Deshacer,Redo Last Action,IDE,Juego Recargar,Proyecto Construir,Build and Start,Cancel Build,Create Package,Folder Crear,Propiedades Mostrar,Rename Package,Package Folder,Item Delete,Expand Folder,Expandir Todos,Collapse All,Explorador Mostrar
Girar,Mover,Redimensionar,World Coordinates,Locales,Coordenada Camara,Escoger,Alumbrado,Grabar,Iniciar,Create Project,Reload Project,Deshacer,Rehacer,Abrir IDE,Game Reload,Contruir Proyecto,Build and Start,Cancelar Build,Create Package,Create Folder,Propiedades Mostrar,Paquete Renombrar,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,All Collapse,Explorer Show
Rotate,Transladar,Scale,World View,Locales,Coordenada Camara,Destacar,Light,Registrar,Iniciar,Crear Proyecto,Reload P,Deshacer,Rehacer accion,Abrir IDE,Recargar Juego,Build,Build and Run,Build Cancel,Paquete Crear,Create Folder,Property Display,Paquete Renombrar,Rename Folder,Item Delete,Folder Expandir,Expand All,All Collapse,Mostrar en Explorador
Rotar,Mover,Scale,World Coordinate,Locales,Camara Coordenada,Elegir,Luz,Grabar,Open,Create P,Proyecto Recargar,Deshacer accion,Redo,Open IDE,Reload Game,Contruir Proyecto,Construir y Correr,Cancelar Build,Paquete Crear,Folder Create,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Delete,Expand Folder,Expand All,Collapsar Todos,Explorador Mostrar
Girar,Transladar,Calibrar,World View,Coordenadas Local,Camara Coordenadas,Seleccionar,Alumbrado,Registrar,Iniciar,Proyecto Crear,Proyecto Recargar,Undo Last Action,Rehacer,Open IDE,Juego Recargar,Proyecto Construir,Contruir y Comenzar,Cancel Build,Paquete Crear,Create Folder,Mostrar Propiedades,Paquete Renombrar,Rename Folder,Item Delete,Expandir Folder,All Expand,Todos Collapsar,Explorador Mostrar
Rotate,Transladar,Scale,Mundo,Coordenadas Local,Camara Coordenadas,Escoger,Luz,Grabar,Iniciar,Proyecto Crear,Reload P,Deshacer accion,Rehacer accion,IDE,Recargar Juego,Proyecto Construir,Contruir y Comenzar,Build Cancelar,Package Create,Crear Folder,Mostrar Propiedades,Renombrar Paquete,Folder Renombrar,Borrar Item,Expand Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Voltear,Mover,Escalar,World View,Locales,Coordenada Camara,Elegir,Light,Grabar,Abrir,Create P,Reload Project,Deshacer accion,Redo,Abrir IDE,Juego Recargar,Build Project,Build and Run,Cancelar Build,Paquete Crear,Folder Crear,Display Property,Paquete Renombrar,Folder Renombrar,Borrar Item,Expandir Folder,Todos Expandir,Collapsar Todos,Mostrar en Explorador
Girar,Mover,Scale,Coordenadas Mundo,Local,Camera Coordinates,Destacar,Iluminacion,Registrar,Abrir,Crear Proyecto,Proyecto Recargar,Deshacer,Rehacer accion,Abrir IDE,Reload Game,Contruir Proyecto,Contruir y Comenzar,Build Cancel,Paquete Crear,Crear Folder,Property Display,Package Rename,Folder Renombrar,Delete Item,Folder Expandir,Expandir Todos,Collapsar Todos,Show in Explorer
Voltear,Mover,Calibrar,World Coordinate,Locales,Coordenada Camara,Seleccionar,Luz,Grabar,Open,Create P,Recargar Proyecto,Undo Last Action,Rehacer,Open IDE,Game Reload,Contruir Proyecto,Construir y Correr,Build Cancelar,Paquete Crear,Crear Folder,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Borrar,Expandir Folder,Expandir Todos,All Collapse,Explorer Show
Girar,Move,Redimensionar,Coordenadas Mundo,Locales,Camara Coordenadas,Escoger,Alumbrado,Grabar,Abrir,Proyecto Crear,Proyecto Recargar,Undo,Redo Last Action,Open IDE,Juego Recargar,Build,Contruir y Comenzar,Build Cancel,Crear Paquete,Crear Folder,Display Property,Paquete Renombrar,Rename Folder,Borrar Item,Folder Expandir,Expand All,Collapse All,Mostrar en Explorador
Rotate,Mover,Redimensionar,Mundo,Coordenada Local,Coordenadas Camara,Escoger,Light,Registrar,Iniciar,Create P,Reload P,Undo Last Action,Redo,IDE,Juego Recargar,Proyecto Construir,Construir y Correr,Cancelar Build,Paquete Crear,Crear Folder,Property Display,Package Rename,Rename Folder,Delete Item,Expandir Folder,Todos Expandir,Todos Collapsar,Explorador Mostrar
Voltear,Transladar,Calibrar,Coordenada Mundo,Local Coordinate,Camara Coordenada,Seleccionar,Light,Guardar,Iniciar,Proyecto Crear,Proyecto Recargar,Undo Last Action,Redo,Abrir IDE,Juego Recargar,Build,Build and Start,Build Cancelar,Crear Paquete,Crear Folder,Propiedades Mostrar,Renombrar Paquete,Rename Folder,Item Borrar,Expandir Folder,All Expand,Todos Collapsar,Mostrar en Explorador
Rotar,Translate,Redimensionar,Coordenadas Mundo,Coordenadas Local,Coordenadas Camara,Elegir,Luz,Registrar,Open,Crear Proyecto,Reload Project,Deshacer,Redo Last Action,Abrir IDE,Juego Recargar,Build Project,Contruir y Comenzar,Cancelar Build,Crear Paquete,Create Folder,Propiedades Mostrar,Paquete Renombrar,Folder Renombrar,Item Borrar,Expand Folder,Expand All,All Collapse,Show in Explorer
Rotate,Translate,Calibrar,Coordenada Mundo,Coordenada Local,Camara Coordenadas,Seleccionar,Luz,Grabar,Empezar,Create Project,Reload P,Undo,Rehacer accion,Abrir IDE,Game Reload,Proyecto Construir,Build and Run,Build Cancel,Package Create,Create Folder,Propiedades Mostrar,Package Rename,Folder Renombrar,Borrar Item,Folder Expandir,Todos Expandir,Collapsar Todos,Mostrar en Explorador
Rotate,Transladar,Escalar,World Coordinates,Local Coordinate,Coordenadas Camara,Destacar,Iluminacion,Save,Empezar,Crear Proyecto,Reload P,Deshacer,Rehacer,Abrir IDE,Reload Game,Proyecto Construir,Build and Run,Cancel Build,Paquete Crear,Folder Create,Display Property,Renombrar Paquete,Renombrar Folder,Borrar Item,Expandir Folder,Todos Expandir,Todos Collapsar,Mostrar en Explorador
Voltear,Mover,Scale,World Coordinate,Coordenada Local,Coordenada Camara,Elegir,Iluminacion,Save,Empezar,Crear Proyecto,Reload P,Undo Last Action,Rehacer accion,Abrir IDE,Juego Recargar,Build,Construir y Correr,Build Cancelar,Paquete Crear,Folder Create,Mostrar Propiedades,Package Rename,Folder Renombrar,Item Borrar,Folder Expand,Todos Expandir,All Collapse,Show in Explorer
Rotar,Transladar,Redimensionar,Mundo,Local Coordinates,Coordenadas Camara,Escoger,Iluminacion,Guardar,Open,Crear Proyecto,Reload P,Undo Last Action,Rehacer,Abrir IDE,Game Reload,Build,Build and Start,Cancel Build,Crear Paquete,Crear Folder,Propiedades Mostrar,Package Rename,Renombrar Folder,Item Borrar,Folder Expandir,Expandir Todos,Collapsar Todos,Mostrar en Explorador
Girar,Transladar,Redimensionar,World View,Local,Coordenadas Camara,Escoger,Alumbrado,Save,Abrir,Proyecto Crear,Reload Project,Undo,Rehacer accion,IDE,Game Reload,Contruir Proyecto,Contruir y Comenzar,Cancel Build,Create Package,Crear Folder,Display Property,Paquete Renombrar,Renombrar Folder,Item Borrar,Expand Folder,Expand All,Collapsar Todos,Explorer Show
Rotate,Move,Scale,World View,Locales,Camara Coordenada,Escoger,Luz,Guardar,Open,Crear Proyecto,Reload Project,Deshacer accion,Redo Last Action,Abrir IDE,Juego Recargar,Build,Construir y Correr,Cancelar Build,Create Package,Crear Folder,Property Display,Paquete Renombrar,Folder Renombrar,Item Delete,Folder Expandir,Todos Expandir,Collapsar Todos,Mostrar en Explorador
